Country,Sex,Mean height
Tanzania,Boys,162.8564133
Thailand,Boys,169.5757931
Timor-Leste,Boys,157.3858625
Togo,Boys,167.0842613
Tokelau,Boys,175.1716951
Tonga,Boys,173.8089853
Trinidad and Tobago,Boys,174.3963779
Tunisia,Boys,173.3333365
Turkey,Boys,173.23782
Turkmenistan,Boys,169.594222
Tuvalu,Boys,170.419703
Uganda,Boys,163.9915728
Ukraine,Boys,176.6898833
United Arab Emirates,Boys,171.1053536
United Kingdom,Boys,176.4973633
United States of America,Boys,176.128887
Uruguay,Boys,172.6872109
Uzbekistan,Boys,168.5478103
Vanuatu,Boys,167.6517327
Venezuela,Boys,170.540603
Viet Nam,Boys,164.188495
Yemen,Boys,157.7660663
Zambia,Boys,165.3500082
Zimbabwe,Boys,166.9858606
Afghanistan,Girls,153.1009279
Albania,Girls,161.0149338
Algeria,Girls,160.1440592
American Samoa,Girls,165.2597532
Andorra,Girls,164.1220461
Angola,Girls,156.631969
Antigua and Barbuda,Girls,163.7800929
Argentina,Girls,160.0395753
Armenia,Girls,158.5966646
Australia,Girls,164.4387111
Austria,Girls,165.2194127
Azerbaijan,Girls,159.2499008
Bahamas,Girls,162.3399742
Bahrain,Girls,157.2441867
Bangladesh,Girls,151.6911328
Barbados,Girls,164.362709
Belarus,Girls,164.631581
Belgium,Girls,164.8856215
Belize,Girls,157.3187962
Benin,Girls,157.0471695
Bermuda,Girls,164.3129609
Bhutan,Girls,153.5484644
Bolivia,Girls,154.5114438
Bosnia and Herzegovina,Girls,165.7354095
Botswana,Girls,160.714034
Brazil,Girls,160.7832741
Brunei Darussalam,Girls,153.449916
Bulgaria,Girls,162.2263226
Burkina Faso,Girls,159.5106653
Burundi,Girls,153.8677101
Cabo Verde,Girls,160.8466384
Cambodia,Girls,152.7724073
Cameroon,Girls,159.3105083
Canada,Girls,164.2215928
Central African Republic,Girls,158.0666911
Chad,Girls,160.8830438
Chile,Girls,158.6751694
China,Girls,160.1870758
China (Hong Kong SAR),Girls,158.9464129
Colombia,Girls,156.8712625
Comoros,Girls,155.8220607
Congo,Girls,157.7298327
Cook Islands,Girls,165.8370672
Costa Rica,Girls,158.8603569
Cote d'Ivoire,Girls,157.8913715
Croatia,Girls,166.285852
Cuba,Girls,159.5959767
Cyprus,Girls,159.9255701
Czech Republic,Girls,166.7390557
Denmark,Girls,167.3192508
Djibouti,Girls,158.5019606
Dominica,Girls,165.7400049
Dominican Republic,Girls,159.9244776
DR Congo,Girls,155.165527
Ecuador,Girls,153.4848576
Egypt,Girls,157.4732143
El Salvador,Girls,154.2453942
Equatorial Guinea,Girls,156.4040747
Eritrea,Girls,156.7983129
Estonia,Girls,167.369021
Ethiopia,Girls,155.7129452
Fiji,Girls,161.8897206
Finland,Girls,165.4541879
France,Girls,164.1864999
French Polynesia,Girls,164.7825898
Gabon,Girls,158.9873992
Gambia,Girls,160.6556087
Georgia,Girls,160.866314
Germany,Girls,165.761933
Ghana,Girls,157.6999896
Greece,Girls,164.615302
Greenland,Girls,161.1296868
Grenada,Girls,163.505986
Guatemala,Girls,149.7013066
Guinea,Girls,158.1233224
Guinea Bissau,Girls,158.0167815
Guyana,Girls,158.8486528
Haiti,Girls,158.9742318
Honduras,Girls,154.0303834
Hungary,Girls,161.6356128
Iceland,Girls,167.2478834
India,Girls,153.0408356
Indonesia,Girls,152.6215168
Iran,Girls,159.7996328
Iraq,Girls,157.0340205
Ireland,Girls,163.5496025
Israel,Girls,161.3217292
Italy,Girls,160.4243785
Jamaica,Girls,163.3669206
Japan,Girls,157.5830843
Jordan,Girls,158.1413848
Kazakhstan,Girls,160.5494769
Kenya,Girls,158.2576067
Kiribati,Girls,159.5199687
Kuwait,Girls,158.8119862
Kyrgyzstan,Girls,158.9008159
Lao PDR,Girls,151.6202692
Latvia,Girls,165.8279688
Lebanon,Girls,162.1633494
Lesotho,Girls,155.8667609
Liberia,Girls,155.7272863
Libya,Girls,160.0645083
Lithuania,Girls,166.4392766
Luxembourg,Girls,163.7884038
Macedonia (TFYR),Girls,159.8129516
Madagascar,Girls,151.9060196
Malawi,Girls,154.9718052
Malaysia,Girls,155.4256181
Maldives,Girls,153.0009478
Mali,Girls,160.599092
Malta,Girls,161.2653072
Marshall Islands,Girls,153.3971966
Mauritania,Girls,158.692461
Mauritius,Girls,158.870239
Mexico,Girls,156.2628006
Micronesia (Federated States of),Girls,157.9206941
Moldova,Girls,162.1690956
Mongolia,Girls,158.6452244
Montenegro,Girls,168.0089667
Morocco,Girls,159.1086494
Mozambique,Girls,154.3822197
Myanmar,Girls,153.0173706
Namibia,Girls,159.3155535
Nauru,Girls,156.8033419
Nepal,Girls,151.4559308
Netherlands,Girls,169.1939018
New Zealand,Girls,164.637646
Nicaragua,Girls,154.5516826
Niger,Girls,158.2770754
Nigeria,Girls,156.3699342
Niue,Girls,164.9867369
North Korea,Girls,158.9324356
Norway,Girls,166.3381457
Occupied Palestinian Territory,Girls,159.396236
Oman,Girls,155.8192887
Pakistan,Girls,153.5259224
Palau,Girls,158.711025
Panama,Girls,156.35417
Papua New Guinea,Girls,155.3612033
Paraguay,Girls,158.4088364
Peru,Girls,152.9940505
Philippines,Girls,152.4077048
Poland,Girls,164.6278204
Portugal,Girls,160.2293889
Puerto Rico,Girls,162.5458052
Qatar,Girls,159.192151
Romania,Girls,162.5941919
Russian Federation,Girls,163.6589302
Rwanda,Girls,154.6182376
Saint Kitts and Nevis,Girls,162.0415181
Saint Lucia,Girls,163.2206124
Saint Vincent and the Grenadines,Girls,163.6912294
Samoa,Girls,160.32891
Sao Tome and Principe,Girls,158.6128552
Saudi Arabia,Girls,156.4694597
Senegal,Girls,162.5998337
Serbia,Girls,167.2379991
Seychelles,Girls,161.1713384
Sierra Leone,Girls,155.6160776
Singapore,Girls,160.3070872
Slovakia,Girls,166.1255017
Slovenia,Girls,166.5927489
Solomon Islands,Girls,154.7474318
Somalia,Girls,158.0538651
South Africa,Girls,158.26642
South Korea,Girls,160.8884059
Spain,Girls,162.037336
Sri Lanka,Girls,154.219585
Sudan,Girls,158.0648672
Suriname,Girls,160.2582829
Swaziland,Girls,158.22154
Sweden,Girls,166.2771171
Switzerland,Girls,162.9529818
Syrian Arab Republic,Girls,157.191151
Taiwan,Girls,159.3289363
Tajikistan,Girls,156.5491471
Tanzania,Girls,155.4913984
Thailand,Girls,157.7104104
Timor-Leste,Girls,149.8318753
Togo,Girls,158.6816648
Tokelau,Girls,164.5190395
Tonga,Girls,164.8167812
Trinidad and Tobago,Girls,162.3535821
Tunisia,Girls,160.7009007
Turkey,Girls,160.1402012
Turkmenistan,Girls,159.8667687
Tuvalu,Girls,161.7675715
Uganda,Girls,157.6527763
Ukraine,Girls,164.9343012
United Arab Emirates,Girls,158.7780542
United Kingdom,Girls,163.559043
United States of America,Girls,162.4483382
Uruguay,Girls,160.5929253
Uzbekistan,Girls,158.5288959
Vanuatu,Girls,158.4011196
Venezuela,Girls,158.2230304
Viet Nam,Girls,154.9362297
Yemen,Girls,151.0690325
Zambia,Girls,156.2990174
Zimbabwe,Girls,158.6796191
